1;Aprilia;32
2;Benelli;2
3;Bimota;3
4;BMW;4
5;Buell;5
6;Cagiva;31
7;Dafra;10
8;Dayang;27
9;Dayun;13
10;Derbi;32
11;Ducati;11
12;Gas Gas;38
13;Gilera;32
14;Govecs;12
15;Haojue;9
16;Harley-Davidson;14
17;Honda;15
18;Honlei;25
19;Horex;16
20;Husaberg;17
21;Husqvarna;18
22;Hyosung;19
23;Indian;20
24;Jialing;7
25;Jianshe;44
26;Kasinski;21
27;Kawasaki;22
28;Keeway;43
29;KTM;23
30;Kymco;24
31;Lifan;25
32;Loncin;26
33;Malaguti;28
34;Minerva;34
35;Moto Guzzi;32
36;Moto Morini;29
37;MV Agusta;31
38;Peugeot;1
39;Piaggio;32
40;Piaggio Zongshen;45
41;Qjiang;43
42;Scarabeo;32
43;Shineray;6
44;Sundiro Honda;36
45;Suzuki;37
46;SYM;35
47;Traxx;30
48;Triumph;39
49;TVS;40
50;Vespa;32
51;Victory;33
52;Wuyang Honda;41
53;Yamaha;42
54;Zongshen;8
